NOM;DOSAGE1;FORME
SALBUMOL;0.5;SOLUTION INJECTABLE
MEZOR 20 MG;20;GELULE GASTRO-RESISTANTE
BEROCCA;;COMPRIME EFFERVESCENT
ROXAM;20;SOLUTION INJECTABLE
DECAPEPTYL LP;11.25;POUDRE POUR SOLUTION INJECTABLE
GRISEO SALICYLEE;5 / 3;POMMADE
DECAPEPTYL LP;3.75;POUDRE POUR SUSPENSION INJECTABLE
NOCOL;40;COMPRIME PELLICULE
IBUPHIL;2;SIROP
CEPHYL;;COMPRIME
RISPERDAL;2;COMPRIME PELLICULE SECABLE
RISPERDAL;2;COMPRIME PELLICULE SECABLE
TOPSYNE APG;0.05;POMMADE
LAMISIL;1;CREME
LANTUS;100;SOLUTION INJECTABLE LP
DIPROSALIC;15 / 900;POMMADE
CIPROXINE;100;SOLUTION POUR PERFUSION
MODURETIC;5 / 50;COMPRIME SECABLE
SYSTRAL;15;CREME
SYSTRAL C;20 / 50;COMPRIME DRAGEIFIE
ACLASTA 5MG/100ML;5;SOLUTION POUR PERFUSION
ACLASTA 5MG/100ML;5;SOLUTION POUR PERFUSION
PUREGON;50;POUDRE POUR SOLUTION INJECTABLE
BACTOX;500;PREPARATION INJECTABLE
AVOCOMB;150 / 300;COMPRIME PELLICULE
AVOCOMB;150 / 300;COMPRIME PELLICULE
ISOLONE;50;COMPRIME
STRATTERA 40 MG;40;GELULE
INSULINE MIXTARD 30 HM PENFILL;100;SUSPENSION INJECTABLE INTERMEDIAIRE
GONAL-F 1050 UI;1050;POUDRE POUR SOLUTION INJECTABLE
GONAL-F 1050 UI;1050;POUDRE POUR SOLUTION INJECTABLE
OXIFLOR;200;COMPRIME PELLICULE
INNOHEP 10 000 UI ANTI-XA/0,5 ML;20000;SOLUTION INJECTABLE
OXALIPLATINE WIN 5 MG/ML;50;POUDRE POUR SOLUTION POUR PERFUSION
PECTRYL;40 / 4;SIROP
GENTAMICINE LLORENTE;120;SOLUTION INJECTABLE
THIOPENTAL BIOCHEMIE;1;POUDRE POUR PREPARATION INJECTABLE
ANTINOREX;4;COMPRIME
ELUDRIL;50 / 15;COLLUTOIRE
STOCRIN;600;COMPRIME ENROBE
MOBIC;15;SUPPOSITOIRE
ABBOTICINE;200;GRANULE POUR SUSPENSION BUVABLE
STARMOX;500;COMPRIME DISPERSIBLE
