NOM;DOSAGE1;FORME
MACROMAX;200;POUDRE POUR SUSPENSION BUVABLE
CROMABAK;20;COLLYRE
ELVORINE;25;PREPARATION INJECTABLE
METHYLPREDNISOLONE MYLAN;20;POUDRE POUR SOLUTION INJECTABLE
KETUM 2.5 %;2.5;GEL
FELDENE;20;SOLUTION INJECTABLE
SOLU MEDROL;40;POUDRE POUR SOLUTION INJECTABLE
OMIZ 20 MG;20;GELULE
GENTAMICINE LLORENTE;160;SOLUTION INJECTABLE
ADALATE;10;CAPSULE
PENITARD;1.2;POUDRE POUR SUSPENSION INJECTABLE
ATROPINE PROMOPHARM 0,25 MG;0.25;SOLUTION INJECTABLE
SIPROZONE;20;COMPRIME
DEFLAZACORTE GT 6 MG;6;COMPRIME SECABLE
INNOHEP 4500 UI ANTI-XA/0,45 ML;4500;SOLUTION INJECTABLE
PANADOL;500;SUPPOSITOIRE
ZAMOX;1 / 125;POUDRE POUR SUSPENSION BUVABLE
ZAMOX;1 / 125;POUDRE POUR SUSPENSION BUVABLE
IKARAN;2;SOLUTION POUR GOUTTES BUVABLES
CIVASTINE;10;COMPRIME ENROBE
FRAXODI;11400;SOLUTION INJECTABLE
LINCOCINE;600;SOLUTION INJECTABLE
CARVEDILOL GT;25;COMPRIME SECABLE
XOLAMOL;20 / 5;COLLYRE
GENTAMICINE CHAUVIN COLLYRE;0.3;COLLYRE
PENAMOX;1;COMPRIME DISPERSIBLE
SOMATOSTATINE;0,25;POUDRE POUR SOLUTION INJECTABLE
SOMATOSTATINE;0,25;POUDRE POUR SOLUTION INJECTABLE
HOSTACORTIN H;5;COMPRIME
NOVONORM;0.5;COMPRIME
NOROXINE;400;COMPRIME ENROBE
MYCOFLU;50;GELULE
PAXIL CR 12.5 MG;12.5;COMPRIME PELLICULE
PAXIL CR 12.5 MG;12.5;COMPRIME PELLICULE
BULMOL;100;SUSPENSION POUR INHALATION BUCCALE
SEBIPROX;1.5;SOLUTION POUR APPLICATION LOCALE
FONGAMIL;1;CREME
FOSAVANCE;70 / 5600;COMPRIME
PREMOCEFAL;250;POUDRE POUR SUSPENSION BUVABLE
DILATOR;2.5;SOLUTION POUR INHALATION PAR NEBULISEUR
DILATOR;2.5;SOLUTION POUR INHALATION PAR NEBULISEUR
RELPAX;40;COMPRIME ENROBE
DOXYMYCINE;100;COMPRIME DISPERSIBLE
GEOMYCINE;0.5;POMMADE OPHTALMIQUE
BC-F 8,4%;;SOLUTE CONCENTRE
COVERSYL;2;COMPRIME SECABLE
ANTAGON H2;400;COMPRIME EFFERVESCENT
AMOXIL;1;COMPRIME DISPERSIBLE
DIFAL 1 %;1;GEL
HYDROCORTISONE ROUSSEL;10;COMPRIME SECABLE
FLEXEN;100;SUPPOSITOIRE
FLEXEN;100;SUPPOSITOIRE
CLAVULIN;500 / 50;POUDRE POUR SOLUTION INJECTABLE
DIPROSONE;0.05;CREME
CLAFORAN;500;POUDRE POUR SOLUTION INJECTABLE
FLONOX;250;COMPRIME PELLICULE
ABILIFY 15 MG;15;COMPRIME
ALGOTROPYL 200;200 / 5;SUPPOSITOIRE
ISKEDYL FORT;19.2 / 2.4;COMPRIME
VITANEVRIL;;COMPRIME ENROBE
CAPEN;25;COMPRIME
INEXIUM;20;COMPRIME PELLICULE GASTRO-RESISTANT
DIFENAC;50;COMPRIME
TRIFAX;250;POUDRE POUR SOLUTION INJECTABLE
CATEX;250;COMPRIME PELLICULE
CLOPRAME;0.26;SOLUTION POUR GOUTTES BUVABLES
METHYLPREDNISOLONE MYLAN;40;POUDRE POUR SOLUTION INJECTABLE
TONICALCIUM ADULTES;500 / 500;SOLUTION BUVABLE
ODRIK;4;GELULE
FLUCONAZOLE GT 200 MG;200;GELULE
RODAL;500;GELULE
CETAMYL;125;POUDRE POUR SOLUTION BUVABLE
FRAXODI;15200;SOLUTION INJECTABLE
DILATREND;25;COMPRIME
HEXAPNEUMINE NR;;SUPPOSITOIRE
IDOL 100 MG;100;SUPPOSITOIRE
NEOMOX;250;POUDRE POUR SUSPENSION BUVABLE
XYTENOL;100;COMPRIME SECABLE
DOLIPRANE;300;POUDRE POUR SOLUTION BUVABLE
LECTIL 16 MG;16;COMPRIME SECABLE
ANTIBIO-SYNALAR;2.5 / 0.1;SOLUTION POUR GOUTTE AURICULAIRE
ASTAPH;1;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
SPIRALIDE;3;COMPRIME SECABLE
TABUNEX 0.05 %;50;SUSPENSION POUR PULVERISATION NASALE
AZIMYCINE;500;COMPRIME
AZIMYCINE;500;COMPRIME
METALYSE 10000 U;50;POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
HYPNOVEL;50;SOLUTION INJECTABLE
ACNO 10 MG;10;CAPSULE MOLLE
ODIA;1;COMPRIME
DYSPORT;500;POUDRE POUR SOLUTION INJECTABLE
CLAMOXYL;1;COMPRIME DISPERSIBLE
COPEGUS;200;COMPRIME PELLICULE
CORANGIN;60;COMPRIME SECABLE LP
FLOXYFRAL;100;COMPRIME ENROBE
AMILO;5;COMPRIME
GEMZAR;1;POUDRE POUR PERFUSION
ATACAND;4;COMPRIME SECABLE
PARANTAL;500;COMPRIME EFFERVESCENT
EUCALYPTINE;1.07 / 6.1;SOLUTION BUVABLE
AVAMYS 27.5 µG/PULVERISATION;0.0275;SUSPENSION POUR PULVERISATION NASALE
AVAMYS 27.5 µG/PULVERISATION;0.0275;SUSPENSION POUR PULVERISATION NASALE
FLUGIZOL;50;GELULE
LYSO 6;20 / 10;COMPRIME SUBLINGUAL
FLUCAZOL;150;GELULE
DOLFENE;300;GELULE
BRUFEN;2;SUSPENSION BUVABLE
DUPHASTON;10;COMPRIME PELLICULE SECABLE
IMMUNOGLOBULINE NORMALE IV-LFB-CNTS 50 MG/ML;10;POUDRE POUR SOLUTION POUR PERFUSION
DEBRIDAT;0.787;GRANULE POUR SUSPENSION BUVABLE
SODIUM CHLORURE PROMOPHARM;0.9;SOLUTION POUR PERFUSION
BIOMYLASE;3000;COMPRIME ENROBE
BIOMYLASE;3000;COMPRIME ENROBE
PIPERACILLINE MYLAN;1;POUDRE POUR SOLUTION INJECTABLE
SK-F 12;;SOLUTE CONCENTRE
ACUPAN;20;SOLUTION INJECTABLE
XYLOCAINE 5% A LA NAPHAZOLINE;5 / 0.02;SOLUTION POUR APPLICATION LOCALE
ANTIGRIPPINE;500 / 100 / 10;COMPRIME SECABLE
TELEBRIX 35;65.09 / 9.66;SOLUTION INJECTABLE
TUNELUZ;20;GELULE
DEPRESTAT;50;COMPRIME ENROBE
DEPRESTAT;50;COMPRIME ENROBE
MAGNE B 6;186 / 936;SOLUTION BUVABLE
TELEBRIX GASTRO;33.015;SOLUTION BUVABLE OU RECTALE
JOSACINE;1;COMPRIME DISPERSIBLE
ODIA;4;COMPRIME
GENTOSYL;80;SOLUTION INJECTABLE
CETAVLON;0.5;CREME
PROFLOX;500;COMPRIME ENROBE
PROFLOX;500;COMPRIME ENROBE
MOSCONTIN;30;COMPRIME LP
LANTUS SOLOSTAR;100;SOLUTION INJECTABLE LP
LANTUS SOLOSTAR;100;SOLUTION INJECTABLE LP
FLUSTAPH;500;GELULE
SKIACOL;0.5;COLLYRE
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;1 / 200;POUDRE POUR SOLUTION INJECTABLE
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;1 / 200;POUDRE POUR SOLUTION INJECTABLE
BICALUTAMIDE GT;50;COMPRIME PELLICULE
BICALUTAMIDE GT;50;COMPRIME PELLICULE
DIPRO OLEOSUM;2.5 / 12.5;SOLUTION INJECTABLE
CERUBIDINE;20;POUDRE POUR PERFUSION
HYPNOVEL;5;SOLUTION INJECTABLE
CALCINIB;10;COMPRIME
DISPAMOX;1;COMPRIME DISPERSIBLE
DISPAMOX;1;COMPRIME DISPERSIBLE
CEDOL 400 MG/20 MG;400 / 20;COMPRIME
VANCOMYCINE MYLAN;500;POUDRE POUR PERFUSION
DIFAL;100;SUPPOSITOIRE
ISOPRINOSINE;500;COMPRIME SECABLE
CEFTRIAXONE MYLAN;500;POUDRE POUR SOLUTION INJECTABLE
VEINAMITOL;3500;SOLUTION BUVABLE
NEOCLAV;1 / 125;POUDRE POUR SUSPENSION BUVABLE
PREMOCEFAL;500;GELULE
PIROCAM SOTHEMA 20 MG;20;COMPRIME DISPERSIBLE
PIROCAM SOTHEMA 20 MG;20;COMPRIME DISPERSIBLE
RELPAX;40;COMPRIME ENROBE
RINGER LACTATE LAPROPHAN;600 / 40;SOLUTION POUR PERFUSION
EMOFORM;1.4 / 4.8;PATE DENTIFRICE
NOMADOL;50;COMPRIME PELLICULE
BRONCHOKOD SANS SUCRE;5;SIROP
CAELYX 2MG/ML;1.87;SOLUTION A DILUER POUR PERFUSION
LEVOFLOXACINE GT 250 MG;250;COMPRIME PELLICULE
AVLOCAN;40;COMPRIME
VIRECTIL 50 MG;50;COMPRIME PELLICULE
AGLIM 3 MG;3;COMPRIME
MAGNEVIST;469.01 / 0.99;SOLUTION INJECTABLE
AVT;500 / 20;COMPRIME EFFERVESCENT
STATOR 20 MG;20;COMPRIME ENROBE
STATOR 20 MG;20;COMPRIME ENROBE
GENTAMICINE POMMADE;0.3;POMMADE OPHTALMIQUE
POLYSILANE;2.25;GEL ORAL
TRIACEPHINE PHARMA5 I.V;1;PREPARATION PARENTERALE
TOPIRAMATE GT 100 MG;100;COMPRIME PELLICULE
SYNTHOL;;SOLUTION POUR BAIN DE BOUCHE
ARAVA;20;COMPRIME PELLICULE
RIFOREIL;2;SOLUTION POUR GOUTTE AURICULAIRE
OTOFA;200000;SOLUTION POUR GOUTTE AURICULAIRE
CASODEX;50;COMPRIME ENROBE
FLOXAPEN;500;GELULE
DISGREN;300;GELULE
DISGREN;300;GELULE
STREPTASE 1500 000 UI;1500000;POUDRE POUR USAGE PARENTERAL
FARMODOXI;100;COMPRIME
GARDASIL;;SUSPENSION INJECTABLE
CATAFLAM;75;SUPPOSITOIRE
CATAFLAM;75;SUPPOSITOIRE
DICETEL;50;COMPRIME PELLICULE
TETRA 500;500;COMPRIME DRAGEIFIE
CLAVULIN;1 / 125;POUDRE POUR SUSPENSION BUVABLE
CLAVULIN;1 / 125;POUDRE POUR SUSPENSION BUVABLE
DIARIT SACHETS;3.5 / 2.9;POUDRE POUR SOLUTION BUVABLE
PRAVASTATINE GT 10 MG;10;COMPRIME
ERCEFURYL;200;GELULE
VIGOREX 50 MG;50;COMPRIME PELLICULE
FENAC PROMOPHARM;25;COMPRIME
SKINOSALIC;0.05 / 3;POMMADE
PHARMADIPINE;20;GELULE LP
TORVA;20;COMPRIME ENROBE
STREPTOCID;1;COMPRIME DISPERSIBLE
ULCESTOP;800;COMPRIME EFFERVESCENT
THIOPENTAL BIOCHEMIE;0.5;POUDRE POUR SOLUTION INJECTABLE
CIFLOXINE;500;COMPRIME ENROBE
ACIDE SLF180;;SOLUTE CONCENTRE
MACROMAX;400;POUDRE POUR SUSPENSION BUVABLE
MACROMAX;400;POUDRE POUR SUSPENSION BUVABLE
CALCIPARINE;5000;SOLUTION INJECTABLE
AMLOR;10;COMPRIME
TORVA;20;COMPRIME ENROBE
MICROPHYLLINE;200;GELULE LP
GLUCOSE 15% LAPROPHAN;15;SOLUTION POUR PERFUSION
NOVEX;8000;SOLUTION INJECTABLE
FRAXIPARINE;3800;SOLUTION INJECTABLE
PRAZOL;20;GELULE
MITOXANTRONE EBEWE;20;SOLUTION A DILUER POUR PERFUSION
OREX;125;GRANULE POUR SUSPENSION BUVABLE
BEDELIX;3;POUDRE POUR SUSPENSION BUVABLE
TEGRETOL LP;400;COMPRIME PELLICULE SECABLE A LP
PERIACTINE;4;COMPRIME
DIGERVIN 20 MG;20;COMPRIME
PRIMPERAN;10;SOLUTION INJECTABLE
GIROFLOX;250;COMPRIME PELLICULE
IXEL;50;GELULE
GENTAMEN 160;160;SOLUTION INJECTABLE
AGLIM 1 MG;1;COMPRIME
CISPLATINE MYLAN;25;SOLUTION POUR PERFUSION
ALGANTIL;5;GEL
SCHOUM;0;SOLUTION BUVABLE
ACIDE SLF208;;SOLUTE CONCENTRE
ACNO 20 MG;20;CAPSULE MOLLE
ALGANTIL;2;SUSPENSION BUVABLE
EFICAL;1;SIROP
EXFORGE 5 MG/80 MG;5 / 80;COMPRIME PELLICULE
EXFORGE 5 MG/80 MG;5 / 80;COMPRIME PELLICULE
EPHEDRINE AGUETTANT 3%;3;SOLUTION INJECTABLE
AMOXIL;1;POUDRE POUR USAGE PARENTERAL
MINOTREX;100;GELULE
PNEUMOCCID;500;COMPRIME DISPERSIBLE
AVENOC;;POMMADE
PERCUTALGINE;15 / 0.6;GEL
S-CITAP 5 MG;5;COMPRIME PELLICULE
CHOLESTIN 20 MG;20;COMPRIME SECABLE
CAPOZIDE;50 / 25;COMPRIME SECABLE
FONZYLANE;300;COMPRIME PELLICULE
LANTUS OPTISET;100;SOLUTION INJECTABLE LP
LANTUS OPTISET;100;SOLUTION INJECTABLE LP
OKA-CARBOPLATIN;450;SOLUTION POUR PERFUSION
BUTOVENT 2 MG;2;COMPRIME
ROTATEQ;;SOLUTION BUVABLE
SUPPOSEDAL NOURRISSON;10/10/5;SUPPOSITOIRE
PERNABOL;4;COMPRIME
HIBOR 3500 UI ANTI XA;3500;SOLUTION INJECTABLE
ASPRO;500;COMPRIME EFFERVESCENT
VOTRIENT 400 MG;400;COMPRIME PELLICULE
TRANXENE;5;GELULE
CURACNE;5;CAPSULE MOLLE
IMUSPORIN;100;CAPSULE MOLLE
DENORAL ENFANT;6 / 22.5;SIROP
DENORAL ENFANT;6 / 22.5;SIROP
OXALISIN 5 MG/ML;100;SOLUTION A DILUER POUR PERFUSION
ZANIDIP;10;COMPRIME ENROBE SECABLE
ATACAND;8;COMPRIME SECABLE
EXFORGE HCT 5MG/160MG/25MG;5/160/25;COMPRIME PELLICULE
HALOPERIDOL PHARMA 5;2;SOLUTION BUVABLE
OVITRELLE;250;SOLUTION INJECTABLE
OVITRELLE;250;SOLUTION INJECTABLE
ISTACYNE 200 MG;200;COMPRIME
DIFRAREL;100 / 5;COMPRIME ENROBE
TERLOMEXIN;200;CAPSULE MOLLE VAGINALE
OTIPAX;0.64 / 0.16;SOLUTION POUR GOUTTE AURICULAIRE
FLUDARA;10;COMPRIME PELLICULE
FLUDARA;10;COMPRIME PELLICULE
COAPROVEL;300 / 25;COMPRIME PELLICULE
COLIMYCINE;1.5;COMPRIME
ULTRA-LEVURE;250;GELULE
OKA-CARBOPLATIN;150;SOLUTION POUR PERFUSION
SYNNAX;25;COMPRIME
GENTALLINE;0.3;COLLYRE
CUSICROM;4;COLLYRE
CUSICROM;4;COLLYRE
TIEMOZYL;150 / 25;SUPPOSITOIRE
PLATAMINE;10;SOLUTION POUR PERFUSION
ALDYZINE;0.138;SOLUTION DENTAIRE
ADIZEM;90;GELULE LP
FARMORUBICINE;50 / 25;POUDRE POUR PERFUSION
TELEBRIX 12 SODIUM;52.5;SOLUTION INJECTABLE
DUPLAMOX;500 / 8;GELULE
CLARADOL;500;COMPRIME EFFERVESCENT
LOPRIL;25;COMPRIME SECABLE
MOSCONTIN;100;COMPRIME LP
FOLIFER;150 / 0.5;GELULE
FOLIFER;150 / 0.5;GELULE
HELMINTOX;250;COMPRIME PELLICULE SECABLE
LIDOCAINE 5% LAPROPHAN;5;SOLUTION POUR APPLICATION LOCALE
ALZOLE 20 MG;20;GELULE
LANTUS;100;SOLUTION INJECTABLE LP
NEOCLAV 1 G/125 MG;1 / 125;POUDRE POUR SUSPENSION BUVABLE
CICLOVIRAL;800;COMPRIME
CICLOVIRAL;800;COMPRIME
ALGINE;500 / 267;SUSPENSION BUVABLE
XYLOCAINE 2% ADRENALINE;2 / 2;SOLUTION INJECTABLE
COLTRAX;4;COMPRIME
XENETIX 350;76.78;SOLUTION INJECTABLE
CALCIPARINE;12500;SOLUTION INJECTABLE
LEXUS;80;SOLUTION A DILUER POUR PERFUSION
APAZIDE;200;GELULE
CATEX;250;COMPRIME PELLICULE
EXPANDOL;500;COMPRIME EFFERVESCENT
VANTEC;10;COMPRIME ENROBE SECABLE
HEXABRIX;200;SOLUTION INJECTABLE
NIMBEX;5;SOLUTION INJECTABLE
SYNNAX;25;COMPRIME
AVELOX;400;SOLUTION POUR PERFUSION
NAPROGEL;10;GEL
BACTOX;125;POUDRE POUR SUSPENSION BUVABLE
DERMOFIX;2;GEL
IBUMAC 300 MG LP;300;GELULE LP
IBUMAC 300 MG LP;300;GELULE LP
ANTAGON H2;400;COMPRIME
COVERAM 5MG/10MG;5 / 10;COMPRIME
CUTACNYL;2.5;GEL
CUTACNYL;2.5;GEL
OCET 200MG;200;COMPRIME ENROBE
INVANZ;1;POUDRE POUR PERFUSION
CITAFINE 1G;1;POUDRE POUR SOLUTION POUR PERFUSION
ADEX;2.5;COMPRIME PELLICULE
SEVORANE (H);100;SOLUTION POUR INHALATION
INFANRIX IPV;;SUSPENSION INJECTABLE
FLAMMAZINE;1;CREME
MYCOFLU;150;GELULE
OROKEN;40;POUDRE POUR SUSPENSION BUVABLE
MAXICLAV;500 / 62.5;POUDRE POUR SUSPENSION BUVABLE
BUTAZOLIDINE;250;SUPPOSITOIRE
TAMOXIFENE MYLAN;10;COMPRIME
GONAL-F900;900;POUDRE POUR SOLUTION INJECTABLE
VERZOL 400 MG;400;COMPRIME
DICYNONE;250;SOLUTION INJECTABLE
PHARMAURACIL 250MG/10ML;250;SOLUTION INJECTABLE
RECORMON;3000;SOLUTION INJECTABLE
DICLOFENAC WIN 1 % GEL;1;GEL
SOLICAM;10;GELULE
EFFERALGAN;500;COMPRIME EFFERVESCENT
XARELTO;10;COMPRIME PELLICULE
XARELTO;10;COMPRIME PELLICULE
DANTRON;8;SOLUTION INJECTABLE
MYCOLOG;100 / 0.25;POMMADE
RYTHMODAN;100;GELULE
EFAVIR;200;GELULE
LIPANOR;100;GELULE
CARBOPLATINE DBL;50;SOLUTION POUR PERFUSION
CARBOPLATINE DBL;50;SOLUTION POUR PERFUSION
POTEX;10000;POUDRE POUR SOLUTION INJECTABLE
CALCIUM ALKO;0.87;SOLUTION INJECTABLE
EPOTIN;4000;SOLUTION INJECTABLE
DIFLUCAN;50;GELULE
TOPSYNE GEL;0.025;GEL
TEPHACYCLINE;500;COMPRIME
ETOPOSIDE COOPER;50;CAPSULE
ETOPOSIDE COOPER;50;CAPSULE
IMMUCYST;;POUDRE POUR SUSPENSION INTRAVESICALE
REQUIP 1 MG;1;COMPRIME PELLICULE
REQUIP 2 MG;2;COMPRIME PELLICULE
CATACOL;0.1;COLLYRE
PROGESTERONE RETARD PHARLON;500;SOLUTION INJECTABLE LP
PROGESTERONE RETARD PHARLON;500;SOLUTION INJECTABLE LP
MIOREL;4;GELULE
DESTEC 5 MG;5;COMPRIME PELLICULE
SYNACTHENE;1;SUSPENSION INJECTABLE
MOLGAM 100 MG;100;COMPRIME
PNEUMOCCID;125;POUDRE POUR SUSPENSION BUVABLE
TENORMINE;100;COMPRIME PELLICULE SECABLE
GONAL-F900;900;POUDRE POUR SOLUTION INJECTABLE
NURABOL;4;COMPRIME
AVODART;0.5;CAPSULE MOLLE
AVODART;0.5;CAPSULE MOLLE
FUCIDINE ENFANT;250;SUSPENSION BUVABLE
AMOXIL;500;POUDRE POUR SUSPENSION BUVABLE
NORMATENS;100;COMPRIME
ENGERIX-B (ADULTE);;PREPARATION INJECTABLE
STAPHYMYCINE;250;GELULE
GEPRID;2;COMPRIME
GEPRID;2;COMPRIME
PROTON;20;GELULE
PROTON;20;GELULE
LIOMETACEN;50;SOLUTION INJECTABLE
LIOMETACEN;50;SOLUTION INJECTABLE
DEXA-GENTAMICINE;5 / 1;COLLYRE
TRONID;250;COMPRIME
SYNNAX;50;COMPRIME
SYNNAX;50;COMPRIME
RODOGYL;0.75 / 125;COMPRIME PELLICULE
FENTANYL MYLAN;100;SOLUTION INJECTABLE
ACIDE ALENDRONIQUE NORMON 70 MG;70;COMPRIME
LEVAMOX;100 / 12.5;POUDRE POUR SUSPENSION BUVABLE
IMOVANE;7.5;COMPRIME PELLICULE SECABLE
PARASPHAN;135 / 265;COMPRIME EFFERVESCENT
NOZINAN;25;SOLUTION INJECTABLE
LAMIVIR;50;SOLUTION BUVABLE
LAMIVIR;50;SOLUTION BUVABLE
ESTREVA;0.1;GEL
ESTREVA;0.1;GEL
ANGINIB;50;COMPRIME ENROBE
EPIVIR;10;SOLUTION BUVABLE
TENORMINE;100;COMPRIME PELLICULE SECABLE
CANESTEN;1;CREME
NONAN;;SOLUTION POUR PERFUSION
MACROMAX 200MG/5ML;200;POUDRE POUR SUSPENSION BUVABLE
MACROMAX 200MG/5ML;200;POUDRE POUR SUSPENSION BUVABLE
ONDANSETRON GT;8;SOLUTION INJECTABLE
BRONCHOCIST ADULTES;2;SOLUTION BUVABLE
ZINOXIME 1.5 G IV;1.5;POUDRE POUR SOLUTION INJECTABLE
ZINOXIME 1.5 G IV;1.5;POUDRE POUR SOLUTION INJECTABLE
MARCAINE 0,50 %;0.5;SOLUTION INJECTABLE
MICROPAKINE LP 250 MG;250;GRANULE LP
MICROPAKINE LP 250 MG;250;GRANULE LP
FLUCTINE GENPHARMA;20;GELULE
EFFEXOR LP 75 MG;75;GELULE LP
EFFEXOR LP 75 MG;75;GELULE LP
MYNAZOL;150;GELULE
MYNAZOL;150;GELULE
STILNOX;10;COMPRIME PELLICULE SECABLE
CEBEMYXINE COLLYRE;0.1 / 0.34;COLLYRE
CEBEMYXINE COLLYRE;0.1 / 0.34;COLLYRE
NORDITROPINE;12;POUDRE POUR SOLUTION INJECTABLE
MUCILAR ADULTES;5;SIROP
LOCERYL;5;SOLUTION POUR APPLICATION LOCALE
QUINOLOX;200;COMPRIME PELLICULE
POTEX;4000;POUDRE POUR SOLUTION INJECTABLE
GLEMA;4;COMPRIME
KANAMED PHARMA;1;POUDRE POUR SOLUTION INJECTABLE
VENTOLINE;100;SUSPENSION POUR INHALATION BUCCALE
TOPIRAMATE GT 25 MG;25;COMPRIME PELLICULE
BELMAZOL 20MG;20;GELULE
VENOFER 100 MG/5ML;100 / 5;SOLUTION INJECTABLE IV
BIGUAN 500;500;COMPRIME
CARDURA;1;COMPRIME
SERUM ANTITETANIQUE 1500 UI/ML;;SOLUTION INJECTABLE
FENTANYL MYLAN;500;SOLUTION INJECTABLE
KENALCOL;44.5 / 22.25;SOLUTION POUR APPLICATION LOCALE
BIOTIC PLUS;500 / 125;COMPRIME ENROBE
SULFA-BLEU;10 / 0.01;COLLYRE
MEGAFLOX IV;200;SOLUTION POUR PERFUSION
LORACTYNE;10;COMPRIME
FAZOL G;300;OVULE
ZINNAT;125;COMPRIME PELLICULE
ANCOTIL;2.5;SOLUTION POUR PERFUSION
TEGUMA;250;COMPRIME
TEGUMA;250;COMPRIME
LANPROL;30;GELULE
MYFORTIC 360 MG;360;COMPRIME PELLICULE GASTRO-RESISTANT
ORAPRED 5 MG;5;COMPRIME EFFERVESCENT
ORAPRED 5 MG;5;COMPRIME EFFERVESCENT
NEORAL;25;CAPSULE MOLLE
NAAXIA;4.9;COLLYRE
TOTAPEN;1;POUDRE POUR SOLUTION INJECTABLE
LANTUS OPTISET;100;SOLUTION INJECTABLE LP
GLUCOSE 30% LAPROPHAN;30;SOLUTION POUR PERFUSION
PNEUMOCCID;250;POUDRE POUR SUSPENSION BUVABLE
TIBERAL;500;SOLUTION POUR PERFUSION
ENDOXAN 200 MG;200;POUDRE POUR SOLUTION INJECTABLE IV
STOCRIN;200;GELULE
EUCARBON;;COMPRIME
EUCARBON;;COMPRIME
TAFEN;20;COMPRIME
FARMODOXI;200;COMPRIME
AXIMYCINE;1;POUDRE POUR SOLUTION INJECTABLE
EXFORGE HCT 10MG/160MG/25MG;10/160/25;COMPRIME PELLICULE
TECPRIL;10;GELULE
INDOPHARM;100;SUPPOSITOIRE
NEURONTIN;300;GELULE
ALKERAN;2;COMPRIME
BARALGIN M;500;COMPRIME PELLICULE
NORBILINE;2;SOLUTION BUVABLE
MYNOCINE;100;GELULE
BIOSEL;3.5 / 2.9;POUDRE POUR SOLUTION BUVABLE
DICYNONE;500;COMPRIME
MYNAZOL;150;GELULE
OPTICILLINE;125;POUDRE POUR SUSPENSION BUVABLE
LIDOCAINE 1% LAPROPHAN;1;SOLUTION INJECTABLE
NORDITROPINE;4;POUDRE POUR SOLUTION INJECTABLE
AUREOMYCINE 1%;1;POMMADE OPHTALMIQUE
SPECTRUM 500;500;COMPRIME PELLICULE
NOVALGINE;1;SUPPOSITOIRE
NOVALGINE;1;SUPPOSITOIRE
GLYCEMAT;80;COMPRIME SECABLE
AUGMENTIN;500 / 125;COMPRIME PELLICULE
UNIZITRO;200;POUDRE POUR SUSPENSION BUVABLE
UNIZITRO;200;POUDRE POUR SUSPENSION BUVABLE
STARMOX;500;COMPRIME DISPERSIBLE
ATROPINE SULFATE 0,50 MG;0.5;SOLUTION INJECTABLE
VITATLON PLUS;500;COMPRIME EFFERVESCENT
TWINRIX (PEDIATRIQUE);0;SUSPENSION INJECTABLE
BIOGAZE PM;85.55 / 56.55;COMPRESSE IMPREGNEE
FENTANYL JANSSEN 100 µG/2 ML;100;SOLUTION INJECTABLE
PARANTAL 3%;3;SOLUTION BUVABLE
PARANTAL 3%;3;SOLUTION BUVABLE
LITAK 10;10;SOLUTION POUR INJECTION SOUS-CUTANEE OU PERFUSION IV
SUPRADYNE SANS SUCRE;;COMPRIME EFFERVESCENT
SUPRADYNE SANS SUCRE;;COMPRIME EFFERVESCENT
SOLIAN;50;COMPRIME SECABLE
ACIDAC;300;COMPRIME ENROBE
PEDOVEX 75 MG;75;COMPRIME PELLICULE
TENSIOTEC;5;GELULE
ARCOXIA;60;COMPRIME PELLICULE
ARACTINE;4;COMPRIME
GASTROGEL;400 / 400;COMPRIME
THEOPHYLLINE BRUNEAU ADULTE;350;SUPPOSITOIRE
XENID;100;SUPPOSITOIRE
NOPOROSE 35 MG;35;COMPRIME PELLICULE
PENICILLINE G 1 MEG;1;POUDRE POUR SOLUTION INJECTABLE
SOCLAV ENFANT;100 / 12.5;POUDRE POUR SUSPENSION BUVABLE
ANDROTARDYL;250;SOLUTION INJECTABLE
CIPROXINE;250;COMPRIME ENROBE
RANIMAT;150;COMPRIME
BREXIN;20;COMPRIME EFFERVESCENT
DECADRON;0.5;COMPRIME SECABLE
ERYACNE;4;GEL
ERYACNE;4;GEL
AUGMENTIN;1 / 125;POUDRE POUR SUSPENSION BUVABLE
SURGESTONE;0.25;COMPRIME
SURGESTONE;0.25;COMPRIME
MONO-TILDIEM LP;300;GELULE LP
MONO-TILDIEM LP;300;GELULE LP
IMIGRAN;50;COMPRIME PELLICULE
DESTEC 5 MG;5;COMPRIME PELLICULE
TEMESTA;2.5;COMPRIME SECABLE
INDUCTAN;100;SUPPOSITOIRE
TROPHIRES NOURRISSONS;44 / 95;SUPPOSITOIRE
DESTEC 5 MG;5;COMPRIME PELLICULE
AMCARD;5;COMPRIME
PRIMPERAN;10;COMPRIME SECABLE
PRIMPERAN;10;COMPRIME SECABLE
UMAX 400 µG LP;0.4;GELULE LP
SIFROL 1.05 MG;1.05;COMPRIME LP
EXFORGE HCT 10MG/160MG/12.5MG;10/160/12.5;COMPRIME PELLICULE
CHRONADALATE L.P;60;COMPRIME OSMOTIQUE LP
CARBOPLATINE DBL;450;SOLUTION POUR PERFUSION
CARBOPLATINE DBL;450;SOLUTION POUR PERFUSION
ADO 1000MG;1000;COMPRIME PELLICULE
DIALYSE PERITONEALE BIEFFE FORMULE 62;;SOLUTION POUR DIALYSE PERITONEALE
OKA-DOCETAXEL;20;SOLUTION A DILUER POUR PERFUSION
